date,price
5/4/2020,72.296555
5/5/2020,73.381645
5/6/2020,74.138741
5/7/2020,74.905708
5/8/2020,76.688599
5/11/2020,77.895317
5/12/2020,77.005119
5/13/2020,76.075333
5/14/2020,76.542717
5/15/2020,76.090179
5/18/2020,77.882935
5/19/2020,77.432907
5/20/2020,78.938828
5/21/2020,78.350304
5/22/2020,78.854759
5/26/2020,78.320625
5/27/2020,78.661865
5/28/2020,78.696495
5/29/2020,78.619843
6/1/2020,79.586708
6/2/2020,79.955139
6/3/2020,80.395294
6/4/2020,79.702927
6/5/2020,81.972939
6/8/2020,82.457611
6/9/2020,85.061447
6/10/2020,87.249878
6/11/2020,83.060974
6/12/2020,83.778084
6/15/2020,84.814163
6/16/2020,87.061943
6/17/2020,86.940773
6/18/2020,86.975388
6/19/2020,86.478355
6/22/2020,88.740959
6/23/2020,90.635117
6/24/2020,89.035225
6/25/2020,90.217216
6/26/2020,87.445221
6/29/2020,89.460548
6/30/2020,90.207321
7/1/2020,90.036705
7/2/2020,90.036705
7/6/2020,92.445206
7/7/2020,92.158356
7/8/2020,94.304733
7/9/2020,94.710266
7/10/2020,94.875946
7/13/2020,94.438263
7/14/2020,96.001076
7/15/2020,96.661316
7/16/2020,95.471886
7/17/2020,95.279015
7/20/2020,97.286919
7/21/2020,95.944206
7/22/2020,96.213722
7/23/2020,91.834412
7/24/2020,91.606926
7/27/2020,93.77803
7/28/2020,92.237495
7/29/2020,94.005531
7/30/2020,95.143021
7/31/2020,105.103401
8/3/2020,107.751762
8/4/2020,108.471336
8/5/2020,108.864525
8/6/2020,112.662704
8/7/2020,110.101242
8/10/2020,111.701538
8/11/2020,108.379555
8/12/2020,111.981468
8/13/2020,113.963272
8/14/2020,113.861702
8/17/2020,113.56443
8/18/2020,114.510735
8/19/2020,114.654411
8/20/2020,117.198555
8/21/2020,123.238091
8/24/2020,124.712044
8/25/2020,123.688942
8/26/2020,125.370987
8/27/2020,123.872261
8/28/2020,123.671608
8/31/2020,127.865585
9/1/2020,132.958801
9/2/2020,130.204102
9/3/2020,119.779846
